epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.5362,0.734495258045,0.598,0.6579363657
1,0.7585,0.527464517228,0.8182,0.434759431028
2,0.821266666667,0.433281974951,0.8299,0.430566362786
3,0.831633333333,0.410453717891,0.8405,0.398402976894
4,0.838133333333,0.396715341298,0.7715,0.453034206533
5,0.8422,0.387752398745,0.8425,0.382588470936
6,0.851966666667,0.374892548943,0.8496,0.389819353414
7,0.858666666667,0.362020634015,0.8689,0.345766170931
8,0.863966666667,0.351482322566,0.8716,0.33447852335
9,0.868733333333,0.340681301125,0.8733,0.33022463212
10,0.871966666667,0.335874641204,0.8139,0.394488545442
11,0.8744,0.329590846403,0.8764,0.329357239759
12,0.8766,0.327080585265,0.871,0.329103211331
13,0.8783,0.32222824498,0.8833,0.30591613456
14,0.8822,0.316605556035,0.8769,0.323555921888
15,0.882733333333,0.314416100621,0.8871,0.308828963459
16,0.8827,0.312462673807,0.8259,0.385546591997
17,0.886066666667,0.307159807301,0.8919,0.293809986281
18,0.886733333333,0.305646793159,0.8937,0.29134856416
19,0.887566666667,0.304482488175,0.8918,0.290701758146
20,0.888733333333,0.303136645659,0.8915,0.297017048037
21,0.8894,0.301947371046,0.8962,0.284497641611
22,0.889033333333,0.299609426252,0.8974,0.284524586058
23,0.890266666667,0.299141223439,0.8957,0.284576049531
24,0.889333333333,0.299133345922,0.8923,0.287510271561
25,0.890433333333,0.297742188597,0.8962,0.284936144853
26,0.890266666667,0.296011163803,0.8918,0.288665126586
27,0.890466666667,0.296725492163,0.894,0.288333939457
28,0.891066666667,0.296201560052,0.8901,0.294675979257
29,0.8914,0.29455115207,0.8913,0.300473936892
30,0.890933333333,0.294091251349,0.896,0.285765977454
31,0.892033333333,0.293786443535,0.8951,0.279214191461
32,0.891633333333,0.293045610007,0.8925,0.286486354244
33,0.8922,0.293101830339,0.8954,0.285111825013
34,0.8923,0.292463467185,0.8883,0.301258752739
35,0.8934,0.291410220106,0.8932,0.283933535612
36,0.8925,0.292466679438,0.8959,0.279066779315
37,0.8926,0.291489183927,0.8961,0.280730840695
38,0.8921,0.29120470976,0.8948,0.282925379866
39,0.8921,0.291102317023,0.8909,0.29561004082
40,0.893833333333,0.2902247293,0.8931,0.290347842288
41,0.893466666667,0.291032856417,0.8858,0.300867606032
42,0.891066666667,0.290139344573,0.8817,0.313333163118
43,0.894033333333,0.289677589695,0.8926,0.293126389837
44,0.892366666667,0.290834856399,0.8982,0.279851255465
45,0.892566666667,0.288908586589,0.8912,0.291658869362
46,0.893166666667,0.289777676646,0.8951,0.284732679665
47,0.894266666667,0.28846962502,0.8831,0.304704138327
48,0.893833333333,0.28880140694,0.8966,0.284739172804
49,0.8948,0.287772796075,0.894,0.283793222618
50,0.8934,0.289069661872,0.8885,0.294461954343
51,0.894066666667,0.288532849165,0.8994,0.271646996307
52,0.895233333333,0.287339798133,0.8983,0.272580421722
53,0.8943,0.28684625543,0.8965,0.280859218496
54,0.894566666667,0.288136064613,0.8964,0.281943690783
55,0.8951,0.288016885583,0.8971,0.279193014753
56,0.894766666667,0.287964170726,0.8845,0.308850115132
57,0.893833333333,0.288431172713,0.8984,0.276658919787
58,0.894166666667,0.286975210607,0.8959,0.284237351573
59,0.894666666667,0.28655473702,0.8954,0.279612492442
60,0.894833333333,0.286474026044,0.8977,0.27973365016
61,0.894266666667,0.287144729869,0.891,0.294116207051
62,0.8947,0.287006800373,0.8981,0.275002747095
63,0.893833333333,0.286089154204,0.8977,0.274279852319
64,0.8955,0.286382547434,0.8942,0.29381995585
65,0.895,0.285404889321,0.9008,0.273763648188
66,0.896966666667,0.284603275239,0.8991,0.277149903727
67,0.8948,0.285669348697,0.8897,0.300124901974
68,0.896,0.285813044461,0.8993,0.273233608437
69,0.895933333333,0.285500634996,0.8953,0.28543532896
70,0.894733333333,0.284724488179,0.9002,0.271973443568
71,0.8966,0.284771377675,0.8876,0.300841956115
72,0.897333333333,0.282625796,0.9001,0.275548556292
73,0.8957,0.28425131522,0.8877,0.30533001225
74,0.896033333333,0.285295877449,0.8985,0.277182923293
75,0.896733333333,0.284692161155,0.8957,0.282276823103
76,0.896566666667,0.283608984756,0.8994,0.273352465713
77,0.896066666667,0.284129727062,0.899,0.274313658738
